Company Name,Address,Phone,Email,Website,Category,Rating,Reviews Count,Business Hours,Facebook,Instagram,LinkedIn,Twitter,YouTube,TikTok,Social Media Links,Lead Score,Lead Status,Lead Source,Data Completeness
Government College University Lahore (GCUL),"Govt College University Rd, Anarkali Bazaar Lahore, 54000, Pakistan",0421110000,,http://www.gcu.edu.pk/,Public university,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Govt M.A.O. Graduate College,"93-R Lower Mall, Islampura, Lahore, 54000, Pakistan",0429921498,,https://mao.punjab.gov.pk/,Government college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Govt. Degree College for Women,"Main Blvd Gulshan-e-Ravi, F Block Block F Gulshan-e-Ravi, Lahore, 54000, Pakistan",0423741989,,http://www.gcu.edu.pk/,Women's college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Government Graduate College of Science,+92 42 99260039,0429926003,,http://www.gcslahore.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"Govt College of Technology, Allama Iqbal Town, Lahore","Wahdat Rd, College Block Nazim Block Allama Iqbal Town, Lahore, 54570, Pakistan",0429926004,,http://gctaitlahore.edu.pk/,Technical university,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Govt. Fatima Jinnah College for Women,+92 42 37661185,0423766118,,http://www.gcu.edu.pk/,Women's college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Lahore College for women university,"Lahore College for women university, Jinnah Town, Lahore, 44444, Pakistan",0429920380,logo@2x.png,http://www.lcwu.edu.pk/,University,4.7,,,,,,,,,,100,Hot,Google Maps,53.8%
Govt. Islamia College Civil Lines,"H8F3+33M Library, St Nagar, Lahore, 54000, Pakistan",0423730036,,http://giccl.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"Govt. Graduate College for Women, Gulberg","49AB, Park View St, Block C3 Block C 3 Gulberg III, Lahore, Pakistan",0429926300,,https://gcwg.punjab.gov.pk/,Women's college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"Government Graduate College Township, Lahore","F822+9F6, Shah Jilani Road, Civic Center Twp Commercial Area Lahore, 54770, Pakistan",0429926211,,http://www.gctownship.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Govt. Post Graduate College for Women,"H-61 Wahdat Rd, Wahdat Colony, Lahore, 54000, Pakistan",0423540530,,http://www.gcu.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"University Of Education, Lower Mall Campus","Rati Gun Rd, Lower Mall, Data Gunj Buksh Town, Lahore, 54000, Pakistan",0423711675,,http://ue.edu.pk/,University,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Government Islamia College,"63 Railway Rd, opp. Govt Islamia Collage, Gawalmandi, Lahore, 54000, Pakistan",0423765801,,http://www.gcu.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"Govt. Post Graduate College for Women, Samanabad","G8M4+89V, College Road, New Samanabad Samanabad Town, Lahore, 54000, Pakistan",0423753881,,http://www.gcu.edu.pk/,Women's college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
The University of Lahore (City Campus),"City Campus: 48A/C3, (Near Govt. College for Women Liberty،, Block C 3 Gulberg III, Lahore, Pakistan",0423587064,info@uolcc.edu.pk,https://uolcc.edu.pk/,Private university,4.7,,,,,,,,,,100,Hot,Google Maps,53.8%
Govt Ayesha Associate College for Women,+92 307 6121344, 307 6121344,,http://www.gcu.edu.pk/,Women's college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"Government College of Technology Railway Road, Lahore","99 Railway Rd, Naulakha, Lahore, 54000, Pakistan",0423738176,,http://www.gcu.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
Government Graduate College for Boys Gulberg Lahore,"G85P+F5W, Hafeez Kardar Rd, Block E 2 Gulberg III, Lahore, Pakistan",0429923211,,https://gcbgulberg.edu.pk/,Government college,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
"Government Degree College for women Islampura,Lahore","21 Haider Rd, Islampura, Lahore, 54000, Pakistan",0423710011,,http://www.gcu.edu.pk/,College,4.7,,,,,,,,,,80,Hot,Google Maps,46.2%
