Company Name,Address,Phone,Email,Website,Category,Rating,Reviews Count,Business Hours,Facebook,Instagram,LinkedIn,Twitter,YouTube,TikTok,Social Media Links,Lead Score,Lead Status,Lead Source,Data Completeness
Bit Technologies Lahore- Software House - Website Development - SEO Services - IT Company,"SBASSE basement, LUMS, Sector U DHA Phase 3, Lahore, 54792, Pakistan", 335 0805956,,https://bittechnologies.co/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
Results,"Office No. 32-A, Gohar Center, Wahdat Rd, Muslim Town, Lahore, 54000, Pakistan", 301 9105640,,http://www.itgenesis.net/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
PETSAAL TECHNOLOGIES PVT LTD | Best Software House | IT Solution | ERP CRM Development,"2nd Floor, of TecVezoto, 1.2 Km From Netsol Avenue, opposite Ring Raod, Gohawa DHA Phase 8, Lahore, 54810, Pakistan", 333 5849688,,https://petsaaltech.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
NETSOL Technologies Ltd.,"NETSOL Avenue، Main Ghazi Rd, Lahore, 54792, Pakistan",0421114488,,https://www.netsoltech.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
First Idea Web Development (Pvt) Ltd. Domain Hosting Company | Web Development Software House,"office # 9 2nd Floor, Ali Raza Plaza, D.H.A. Main Blvd, Super Town Phase 1 Super Town, Lahore, 54000, Pakistan", 321 4136474,,https://firstideaweb.com/,Website designer,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
Devsinc,"Plot B, 281 Ghazi Rd, Khuda Buksh Colony KB Society, Lahore, Pakistan",0423574028,,http://www.devsinc.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
TechAbout Private Limited,"TechAbout HQ, 231 - B Main Boulevard, Commercial Broadway Sector B Phase 8 Defence Housing Authority, Lahore, 53000, Pakistan",0423569295,,https://www.techabout.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
Olumi Tech - Lahore software house,"1566, 124 Walton Rd, Colony Madina Colony, Madinah, 54000, Pakistan", 316 8844669,,http://www.olumitech.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
Q-Soft Technologies,"15 Ghazi Rd, Sector P Dha Phase 1, Lahore, 54000, Pakistan",0423545220,,http://qsoft.pk/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
TechnoLyte Software House - Top IT Agency,"M1-19, Mega Tower, Gulberg 2, Lahore, 54000, Pakistan", 307 4914979,,https://technolyte.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
IT Genesis - - Software House in Lahore - - Software company in Lahore / Software house in Gulberg,"IT Tower, 111 Hali Rd, Block E1 Block E 1 Gulberg III, Lahore, 54000, Pakistan", 308 4926007,,https://itgenesis.net/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
Arbisoft,"25 Mohlanwal Road, Westwood Colony Lahore, 54000, Pakistan",0423749853,,https://www.arbisoft.com/,Software company,4.9,,,https://www.facebook.com/software-bank-105748474772395,,https://linkedin.com/company/shopdev-co,,,,Facebook: https://www.facebook.com/software-bank-105748474772395 | LinkedIn: https://linkedin.com/company/shopdev-co,84,Hot,Google Maps,61.5%
